identifier,mol,flag,mol_,cluster,stratify_key
6mx8_9,COC1=CC(=CC=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[P](C)(C)=O)N4CCC(CC4)N5CCN(CC5)C(=O)CCCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa43d5760>,0,0-1
3lq5_8,ClC1=CC=CC(=C1C(=O)NC2=C[NH]N=C2C(=O)NC3CCN(CC3)C(=O)CCC(=O)NCCCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)Cl,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9f7c1030>,7,7-0
5f1h_8,COC1=CC(=C(OC)C=C1CN2CC(C2)NC(=O)CCCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)C7=CN(C)C(=O)C8=CN=CC=C78,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa506f300>,0,0-1
2gqg_7,CC1=NC(=CC(=N1)N2CCN(CC2)C(=O)COCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)NC6=NC=C(S6)C(=O)NC7=C(C)C=CC=C7Cl,0,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd54940>,8,8-0
1ej1_18,CC1=C(SC=N1)C2=CC=C(CNC(=O)C3C[C@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCN[P](O)(=O)O[P](O)(=O)OC[C@@H]4O[C@@H]([C@@H](O)[C@H]4O)[N]5C=NC6=C5N=C(N)NC6=O)C(C)(C)C)C=C2,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e8b5d0>,0,0-0
5hzn_1,CC1=CC(=N[NH]1)NC2=NC(=NC=C2)NC3=CC=C(OCCOCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C3,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e3eee0>,0,0-1
5hzn_2,CC1=CC(=N[NH]1)NC2=NC(=NC=C2)NC3=CC=C(OCCOCCOCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C3,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e3e2b0>,0,0-1
1err_5,CCN(CCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4036620>,0,0-0
5g0i_7,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCCCCCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa56c0da0>,0,0-1
3k6p_11,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCOCCOCCN[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9a1ada80>,0,0-1
1fkh_4,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4f10ee0>,0,0-1
1err_27,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa40362b0>,5,5-0
3lq5_22,O=C(CCC(=O)N1CCN(CC1)CC2=CC=C(NC(=O)C3=N[NH]C=C3NC4=C5C=C[NH]C5=NC=N4)C=C2)NCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4e44260>,12,12-1
5t8e_31,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCNC(=O)C4=CC=C(C=C4F)N5C(=S)N(C(=O)C5(C)C)C6=CC=C(C#N)C(=C6)C(F)(F)F)C(C)(C)C)C=C2,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4d58bc0>,0,0-1
6vs3_18,OC1=CC=C(F)C=C1C(N2CC3=CC=C(C=C3C2=O)C4=CC=C(C=C4)N5CCN(CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)C(=O)NC9=NC=CS9,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd7f620>,0,0-1
2vti_14,O=C(CCC(=O)N1CCN(CC1)CC2=CC=C(NC(=O)C3=N[NH]C=C3NC4=C5C=C[NH]C5=NC=N4)C=C2)NCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4055030>,0,0-1
6w8l_8,C[N]1C=C(NC2=NC=C(Cl)C(=N2)NCC3=CC(=CC(=C3F)OCCCCCCCCCC(=O)N[C@@H](C(=O)N4C[C@@H](O)C[C@@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)F)C=N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4105490>,0,0-0
6w8l_7,FC1=CC=C(F)C(=C1)CNC2=NC(=NC=C2Cl)NC3=C[N](CCOCCOCCOCCOCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)N=C3,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4105440>,0,0-0
4qnq_33,CC1(C)CCC(=C(CN2CCN(CC2)C3=CC=C(C=C3)C(=O)N[S](=O)(=O)C4=CC=C(N[C@@H](CCN5CCN(CCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)CSC9=CC=CC=C9)C(=C4)[S](=O)(=O)C(F)(F)F)C1)C%10=CC=C(Cl)C=C%10,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4643620>,0,0-1
6ny4_8,C[N]1C=C(NC2=NC=C(Cl)C(=N2)NCC3=CC(=CC(=C3F)OCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)F)C=N1,0,<rdkit.Chem.rdchem.Mol object at 0x7f5aa59ba350>,2,2-0
5eko_2,COC1=CC2=C(C=C1OCCCCOCCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)N=CC=C2OC6=CC=C(NC(=O)C7(CC7)C(=O)NC8=CC=C(F)C=C8)C=C6F,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa46afc60>,0,0-1
6haz_1,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C4(F)CC4)C(C)(C)C)C(=C2)OCCOCCOCCN5CCN(CC5)C6=CC(=NN=C6N)C7=CC=CC=C7O,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa4951490>,0,0-1
5l2t_4,CN(C)C(=O)C1=CC2=C(N=C(NC3=CC=C(C=N3)N4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N=C2)[N]1C8CCCC8,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9f70b210>,0,0-1
5eu1_25,COC1=CC(=CC(=C1CN2CC(C2)NC(=O)COCCOCCOCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)OC)C7=CN(C)C(=O)C8=CN=CC=C78,1,<rdkit.Chem.rdchem.Mol object at 0x7f5aa46af990>,0,0-1
6z45_1,O=C1CCC(N2C(=O)C3=C(C2=O)C(=CC=C3)OCCCCCOC4=CC=C(CC(=O)NC5=N[NH]C(=C5)C6CCC6)C=C4)C(=O)N1,1,<rdkit.Chem.rdchem.Mol object at 0x7f5a9fd50710>,0,0-1
