identifier,mol,flag
1err_14,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C6CC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1err_15,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C6CCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1err_16,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C6CCCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1err_17,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C6CCCCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1err_18,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)CC6CCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1err_19,CCN(CCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_2,CCN(CCCCCCC#CC1=CC=CC2=C1CN(C3CCC(=O)NC3=O)C2=O)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_20,CCN(CCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_21,CCN(CCCCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_22,CCN(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=CC(=CC=C23)O)C4=CC=C(O)C=C4)CCC5CCN(CCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)N[C@@H](C)C7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C)CC5,0
1err_23,CCN(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=CC(=CC=C23)O)C4=CC=C(O)C=C4)CCN5CCN(CCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)N[C@@H](C)C7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C)CC5,1
1err_24,CCN(CCCC#CC1=C[N](CCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C3=CC=C(C=C3)C4=C(C)N=CS4)C(C)(C)C)N=C1)CCOC5=CC=C(C=C5)C(=O)C6=C(SC7=CC(=CC=C67)O)C8=CC=C(O)C=C8,1
1err_25,CCN(CCOC1=CC=C(C=C1)C(=O)C2=C(SC3=CC(=CC=C23)O)C4=CC=C(O)C=C4)CCC#CC5=C[N](CC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)N[C@@H](C)C7=CC=C(C=C7)C8=C(C)N=CS8)C(C)(C)C)N=C5,1
1err_26,CCN(CCCCC1=C[N](CC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@@H](C)C3=CC=C(C=C3)C4=C(C)N=CS4)C(C)(C)C)N=C1)CCOC5=CC=C(C=C5)C(=O)C6=C(SC7=CC(=CC=C67)O)C8=CC=C(O)C=C8,1
1err_27,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_28,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(Cl)C=C2)C(C)(C)C)CCOC3=CC=C(C=C3)C(=O)C4=C(SC5=CC(=CC=C45)O)C6=CC=C(O)C=C6,0
1err_29,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C#N)C(C)(C)C)CCOC3=CC=C(C=C3)C(=O)C4=C(SC5=CC(=CC=C45)O)C6=CC=C(O)C=C6,0
1err_3,CCN(CCOCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_30,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C#C)C(C)(C)C)CCOC3=CC=C(C=C3)C(=O)C4=C(SC5=CC(=CC=C45)O)C6=CC=C(O)C=C6,1
1err_31,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3CC3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_32,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C(C)C)C(C)(C)C)CCOC3=CC=C(C=C3)C(=O)C4=C(SC5=CC(=CC=C45)O)C6=CC=C(O)C=C6,0
1err_33,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C(C)(C)C)C(C)(C)C)CCOC3=CC=C(C=C3)C(=O)C4=C(SC5=CC(=CC=C45)O)C6=CC=C(O)C=C6,0
1err_4,CCN(CCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_5,CCN(CCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_6,CCN(CCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
1err_7,CCN(CCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_8,CCN(CCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1err_9,CCN(CCCCCCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,1
1fkh_1,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)NC(=O)CCC(=O)NCCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O,1
1fkh_2,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)NC(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O,1
1fkh_3,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NC4=CC=C(C=C4)N=NC5=CC=C(NC(=O)COC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)C=C5,1
1fkh_4,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,1
1fkh_5,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,0
1fkh_6,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,0
1fkh_7,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,0
1fkh_8,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCNC(=O)COC4=CC=C(C=C4)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,1
1hwk_1,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_10,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_11,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_12,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_13,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_14,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_15,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_16,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_17,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_18,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_19,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_2,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_20,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_21,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_22,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,0
1hwk_23,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,0
1hwk_24,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,0
1hwk_25,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,1
1hwk_26,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,0
1hwk_27,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCC5=C[N](CCOCCOCCOCCOCCNC6=CC=C7C(=O)N(C8CCC(=O)NC8=O)C(=O)C7=C6)N=N5,0
1hwk_28,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_29,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_3,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCC5=C[N](CCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_30,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_31,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_32,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_33,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCCOCC#CC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,1
1hwk_34,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCOCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
1hwk_35,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCOCCCC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)N=N5,0
